Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
JPMorgan Chase,432.92,317.07,356.08,31608.0
Bank of America,231.52,169.56,190.43,16903.55
Industrial and Commercial Bank of China,194.56,142.5,160.03,14205.06
Agricultural Bank of China,160.68,117.68,132.16,11731.44
HDFC Bank,157.91,115.65,129.88,11529.2
Wells Fargo,155.87,114.16,128.2,11380.25
HSBC Holdings PLC,148.9,109.05,122.47,10871.37
Morgan Stanley,140.83,103.14,115.83,10282.17
China Construction Bank,139.82,102.4,115.0,10208.42
Bank of China,136.81,100.2,112.53,9988.66
